,Demand,Back-up share,Demand share
138,2012.28,0.40606207230248154,0.449874580257457
139,2026.1100000000001,0.41083052651786184,0.44134041705058585
140,2022.3,0.36514236410698875,0.41012796852501576
141,2021.46,0.46771077687318896,0.49209564103937337
142,2016.9299999999998,0.4719844425537825,0.5136280409388744
143,2037.23,0.49421940270050085,0.5152417974015726
144,2051.99,0.5130110883098519,0.5230811977904045
145,2039.14,0.5133554771296105,0.5380685746251722
146,2031.33,0.5222610866011635,0.5584826914987503
147,2047.37,0.528391521412407,0.5591966721929822
148,2041.6799999999998,0.5437038065165343,0.5715021497671086
149,2052.3900000000003,0.5607153512697661,0.5745145406856474
150,2050.48,0.5646154911054198,0.6008767816954239
151,2056.96,0.5877576514678325,0.63317183084718
152,2048.67,0.588367201487997,0.6609103256048029
153,2052.2799999999997,0.6110394365214965,0.668848056629231
154,2052.26,0.6143385173303578,0.6797228459953765
155,2119.02,0.7283230977412304,0.7028678329054471
156,2071.93,0.7120201042568727,0.9769429893013584
157,2062.2400000000002,0.7082453163417254,0.9125601812517701
158,2060.29,0.6900239370404173,0.8605733284880687
159,2063.51,0.6796930608843597,0.8593625713702676
160,2075.19,0.6763837829441309,0.8219583394396935
161,2061.84,0.6574006339917093,0.7676132894521304
162,2065.28,0.6382562094197671,0.7268580760053215
163,2054.45,0.6301382077574678,0.6799774935045592
164,2053.36,0.5956019381289601,0.672668186702309
165,2054.45,0.5838020247469067,0.6304991637128082
166,-3.579999999999984,0.3536872747435542,-0.005335161396083551
167,36.639999999999986,0.49994715891076896,0.6082337317397081
168,34.70999999999998,0.4923857868020304,0.3943870014771047
169,39.23999999999998,0.4962260231285922,0.5208388638173612
170,38.28000000000003,0.49541600606603714,0.5064831966128607
171,39.76000000000002,0.4948727687048994,0.5093517806815273
172,37.06999999999999,0.4949442392077285,0.43069594516091547
173,35.380000000000024,0.49459299697486003,0.460797082573587
174,44.130000000000024,0.49621205554496123,0.5721509140412294
175,39.72000000000003,0.4944830687281658,0.4688385269121815
176,40.02999999999997,0.4969097865415577,0.560408791824163
177,31.920000000000016,0.4925967313870652,0.49781659388646265
178,38.389999999999986,0.4925157675849387,0.4653897442114194
179,38.140000000000015,0.49305818720501604,0.4587442867452489
180,37.81999999999999,0.4966349823076389,0.5495495495495495
181,217.75,0.49331031506258094,0.8701298701298701
182,975.4,0.6007758650548994,0.82075360562764
183,170.89999999999998,0.4887691554124973,0.4454697111875716
184,180.79999999999998,0.5023134002618943,0.4609305289993626
185,337.2,0.5222181672835966,0.6127232751258336
186,338.6,0.5398873278620114,0.6255080174388533
187,506.2,0.5413169899362748,0.6882954421842705
188,647.4000000000001,0.5609219670977391,0.7539742619227858
189,778.7,0.5747085521046543,0.787878787878788
190,800.3,0.5943458709519992,0.7979540151953256
191,943.6,0.5938262992675271,0.816121778239059
192,1078.8,0.5944898386758852,0.8228456363553155
193,1078.1,0.6110168453828257,0.834655910565392
194,1077.1,0.6119333067300519,0.8329788797203554
195,1219.0,0.6297976273551988,0.851732811626607
196,1219.3,0.627576166839142,0.7674683552271311
197,1225.4,0.612098774056093,0.7658175636827239
198,1234.4,0.6143804574168373,0.768153730312327
199,1081.6,0.5949353861158522,0.7417465607812479
200,1076.6,0.5790474860822673,0.7365849987342725
201,956.4000000000001,0.5788905902004454,0.7188167032438446
202,816.8,0.5630143674152601,0.6858563127666005
203,754.7,0.5534710785894976,0.6621278985094008
204,639.7,0.5423234497604333,0.6302214691046659
205,642.4000000000001,0.5416840785624739,0.6389369616677608
206,479.9,0.5193038747253513,0.5594152892080293
207,344.3,0.505497194595445,0.47805501173268905
208,181.90000000000003,0.4948638092124507,0.3270582735494543
209,172.4,0.46881547702193044,0.3073522070883548
